Line: 0 Column: 0 Type: Begin Value: begin
Line: 1 Column: 4 Type: Const Value: const
Line: 1 Column: 10 Type: Identifier Value: a
Line: 1 Column: 12 Type: EqualSign Value: =
Line: 1 Column: 14 Type: UnsignedInteger Value: 1
Line: 1 Column: 15 Type: Semicolon Value: ;
Line: 2 Column: 4 Type: Var Value: var
Line: 2 Column: 8 Type: Identifier Value: b
Line: 2 Column: 9 Type: EqualSign Value: =
Line: 2 Column: 10 Type: Identifier Value: a
Line: 2 Column: 11 Type: Semicolon Value: ;
Line: 3 Column: 4 Type: Var Value: var
Line: 3 Column: 8 Type: Identifier Value: c
Line: 3 Column: 9 Type: EqualSign Value: =
Line: 3 Column: 10 Type: Identifier Value: a
Line: 3 Column: 11 Type: PlusSign Value: +
Line: 3 Column: 12 Type: Identifier Value: b
Line: 3 Column: 13 Type: MultiplicationSign Value: *
Line: 3 Column: 14 Type: Identifier Value: c
Line: 3 Column: 15 Type: PlusSign Value: +
Line: 3 Column: 16 Type: LeftBracket Value: (
Line: 3 Column: 17 Type: Identifier Value: b
Line: 3 Column: 18 Type: PlusSign Value: +
Line: 3 Column: 19 Type: UnsignedInteger Value: 2
Line: 3 Column: 20 Type: RightBracket Value: )
Line: 4 Column: 4 Type: Print Value: print
Line: 4 Column: 9 Type: LeftBracket Value: (
Line: 4 Column: 10 Type: Identifier Value: b
Line: 4 Column: 11 Type: RightBracket Value: )
Line: 4 Column: 12 Type: Semicolon Value: ;
Line: 5 Column: 0 Type: End Value: end
